Sample,Time(ms),A0(V),A1(V),A2(V),A3(V)
1165,3334,1.623,0.000,0.000,0.000
1166,3337,1.623,0.000,0.000,0.000
1167,3340,1.618,0.000,0.000,0.000
1168,3343,1.608,0.000,0.000,0.000
1169,3346,1.598,0.000,0.000,0.000
1170,3349,1.598,0.000,0.000,0.000
1171,3352,1.598,0.000,0.000,0.000
1172,3355,1.584,0.000,0.000,0.000
1173,3358,1.584,0.000,0.000,0.000
1174,3361,1.579,0.000,0.000,0.000
1175,3364,1.579,0.000,0.000,0.000
1176,3367,1.559,0.000,0.000,0.000
1177,3370,1.569,0.000,0.000,0.000
1178,3373,1.559,0.000,0.000,0.000
1179,3376,1.554,0.000,0.000,0.000
1180,3378,1.554,0.000,0.000,0.000
1181,3381,1.549,0.000,0.000,0.000
1182,3384,1.544,0.000,0.000,0.000
1183,3387,1.530,0.000,0.000,0.000
1184,3391,1.535,0.000,0.000,0.000
1185,3394,1.530,0.000,0.000,0.000
1186,3397,1.525,0.000,0.000,0.000
1187,3400,1.525,0.000,0.000,0.000
1188,3403,1.515,0.000,0.000,0.000
1189,3406,1.510,0.000,0.000,0.000
1190,3409,1.500,0.000,0.000,0.000
1191,3411,1.500,0.000,0.000,0.000
1192,3414,1.500,0.000,0.000,0.000
1193,3417,1.491,0.000,0.000,0.000
1194,3420,1.486,0.000,0.000,0.000
1195,3423,1.486,0.000,0.000,0.000
1196,3426,1.481,0.000,0.000,0.000
1197,3429,1.476,0.000,0.000,0.000
1198,3433,1.471,0.000,0.000,0.000
1199,3436,1.466,0.000,0.000,0.000
1200,3439,1.461,0.000,0.000,0.000
1201,3442,1.461,0.000,0.000,0.000
1202,3444,1.452,0.000,0.000,0.000
1203,3447,1.442,0.000,0.000,0.000
1204,3450,1.442,0.000,0.000,0.000
1205,3453,1.442,0.000,0.000,0.000
1206,3456,1.432,0.000,0.000,0.000
1207,3459,1.427,0.000,0.000,0.000
1208,3462,1.422,0.000,0.000,0.000
1209,3465,1.422,0.000,0.000,0.000
1210,3468,1.417,0.000,0.000,0.000
1211,3471,1.403,0.000,0.000,0.000
1212,3473,1.408,0.000,0.000,0.000
1213,3477,1.403,0.000,0.000,0.000
1214,3480,1.403,0.000,0.000,0.000
1215,3483,1.388,0.000,0.000,0.000
1216,3486,1.388,0.000,0.000,0.000
1217,3489,1.388,0.000,0.000,0.000
1218,3492,1.378,0.000,0.000,0.000
1219,3495,1.383,0.000,0.000,0.000
1220,3498,1.373,0.000,0.000,0.000
1221,3501,1.369,0.000,0.000,0.000
1222,3504,1.364,0.000,0.000,0.000
1223,3506,1.364,0.000,0.000,0.000
1224,3509,1.359,0.000,0.000,0.000
1225,3512,1.344,0.000,0.000,0.000
1226,3515,1.349,0.000,0.000,0.000
1227,3519,1.344,0.000,0.000,0.000
1228,3522,1.344,0.000,0.000,0.000
1229,3525,1.325,0.000,0.000,0.000
1230,3528,1.334,0.000,0.000,0.000
1231,3531,1.329,0.000,0.000,0.000
1232,3534,1.320,0.000,0.000,0.000
1233,3536,1.325,0.000,0.000,0.000
1234,3539,1.320,0.000,0.000,0.000
1235,3542,1.310,0.000,0.000,0.000
1236,3545,1.305,0.000,0.000,0.000
1237,3548,1.310,0.000,0.000,0.000
1238,3551,1.305,0.000,0.000,0.000
1239,3554,1.285,0.000,0.000,0.000
1240,3557,1.285,0.000,0.000,0.000
1241,3561,1.295,0.000,0.000,0.000
1242,3564,1.285,0.000,0.000,0.000
1243,3567,1.281,0.000,0.000,0.000
1244,3569,1.285,0.000,0.000,0.000
1245,3572,1.276,0.000,0.000,0.000
1246,3575,1.266,0.000,0.000,0.000
1247,3578,1.266,0.000,0.000,0.000
1248,3581,1.261,0.000,0.000,0.000
1249,3584,1.256,0.000,0.000,0.000
1250,3587,1.246,0.000,0.000,0.000
1251,3590,1.246,0.000,0.000,0.000
1252,3593,1.256,0.000,0.000,0.000
1253,3596,1.237,0.000,0.000,0.000
1254,3598,1.241,0.000,0.000,0.000
1255,3601,1.237,0.000,0.000,0.000
1256,3605,1.232,0.000,0.000,0.000
1257,3608,1.227,0.000,0.000,0.000
1258,3611,1.232,0.000,0.000,0.000
1259,3614,1.227,0.000,0.000,0.000
1260,3617,1.212,0.000,0.000,0.000
1261,3620,1.212,0.000,0.000,0.000
1262,3623,1.212,0.000,0.000,0.000
1263,3626,1.212,0.000,0.000,0.000
1264,3629,1.202,0.000,0.000,0.000
1265,3631,1.202,0.000,0.000,0.000
1266,3634,1.202,0.000,0.000,0.000
1267,3637,1.188,0.000,0.000,0.000
1268,3640,1.188,0.000,0.000,0.000
1269,3643,1.188,0.000,0.000,0.000
1270,3647,1.188,0.000,0.000,0.000
1271,3650,1.178,0.000,0.000,0.000
1272,3653,1.178,0.000,0.000,0.000
1273,3656,1.173,0.000,0.000,0.000
1274,3659,1.173,0.000,0.000,0.000
1275,3661,1.168,0.000,0.000,0.000
1276,3664,1.168,0.000,0.000,0.000
1277,3667,1.163,0.000,0.000,0.000
1278,3670,1.153,0.000,0.000,0.000
1279,3673,1.153,0.000,0.000,0.000
1280,3676,1.149,0.000,0.000,0.000
1281,3679,1.139,0.000,0.000,0.000
1282,3682,1.144,0.000,0.000,0.000
1283,3685,1.139,0.000,0.000,0.000
1284,3689,1.139,0.000,0.000,0.000
1285,3692,1.129,0.000,0.000,0.000
1286,3694,1.129,0.000,0.000,0.000
1287,3697,1.129,0.000,0.000,0.000
1288,3700,1.119,0.000,0.000,0.000
1289,3703,1.119,0.000,0.000,0.000
1290,3706,1.119,0.000,0.000,0.000
1291,3709,1.114,0.000,0.000,0.000
1292,3712,1.105,0.000,0.000,0.000
1293,3715,1.109,0.000,0.000,0.000
1294,3718,1.105,0.000,0.000,0.000
1295,3721,1.095,0.000,0.000,0.000
1296,3724,1.100,0.000,0.000,0.000
1297,3726,1.095,0.000,0.000,0.000
1298,3729,1.095,0.000,0.000,0.000
1299,3733,1.085,0.000,0.000,0.000
1300,3736,1.085,0.000,0.000,0.000
1301,3739,1.080,0.000,0.000,0.000
1302,3742,1.070,0.000,0.000,0.000
1303,3745,1.075,0.000,0.000,0.000
1304,3748,1.075,0.000,0.000,0.000
1305,3751,1.070,0.000,0.000,0.000
1306,3754,1.061,0.000,0.000,0.000
1307,3756,1.061,0.000,0.000,0.000
1308,3759,1.061,0.000,0.000,0.000
1309,3762,1.051,0.000,0.000,0.000
1310,3765,1.056,0.000,0.000,0.000
1311,3768,1.056,0.000,0.000,0.000
1312,3771,1.051,0.000,0.000,0.000
1313,3775,1.036,0.000,0.000,0.000
1314,3778,1.041,0.000,0.000,0.000
1315,3781,1.036,0.000,0.000,0.000
1316,3784,1.031,0.000,0.000,0.000
1317,3787,1.031,0.000,0.000,0.000
1318,3789,1.031,0.000,0.000,0.000
1319,3792,1.031,0.000,0.000,0.000
1320,3795,1.017,0.000,0.000,0.000
1321,3798,1.022,0.000,0.000,0.000
1322,3801,1.017,0.000,0.000,0.000
1323,3804,1.007,0.000,0.000,0.000
1324,3807,1.012,0.000,0.000,0.000
1325,3810,1.012,0.000,0.000,0.000
1326,3813,1.012,0.000,0.000,0.000
1327,3817,0.997,0.000,0.000,0.000
1328,3819,1.002,0.000,0.000,0.000
1329,3822,0.997,0.000,0.000,0.000
1330,3825,0.982,0.000,0.000,0.000
1331,3828,0.997,0.000,0.000,0.000
1332,3831,0.992,0.000,0.000,0.000
1333,3834,0.982,0.000,0.000,0.000
1334,3837,0.973,0.000,0.000,0.000
1335,3840,0.982,0.000,0.000,0.000
1336,3843,0.973,0.000,0.000,0.000
1337,3846,0.968,0.000,0.000,0.000
1338,3849,0.973,0.000,0.000,0.000
1339,3851,0.973,0.000,0.000,0.000
1340,3854,0.973,0.000,0.000,0.000
1341,3857,0.958,0.000,0.000,0.000
1342,3861,0.958,0.000,0.000,0.000
1343,3864,0.958,0.000,0.000,0.000
1344,3867,0.948,0.000,0.000,0.000
1345,3870,0.953,0.000,0.000,0.000
1346,3873,0.953,0.000,0.000,0.000
1347,3876,0.943,0.000,0.000,0.000
1348,3879,0.938,0.000,0.000,0.000
1349,3881,0.938,0.000,0.000,0.000
1350,3884,0.938,0.000,0.000,0.000
1351,3887,0.934,0.000,0.000,0.000
1352,3890,0.938,0.000,0.000,0.000
1353,3893,0.934,0.000,0.000,0.000
1354,3896,0.929,0.000,0.000,0.000
1355,3899,0.919,0.000,0.000,0.000
1356,3903,0.924,0.000,0.000,0.000
1357,3906,0.919,0.000,0.000,0.000
1358,3909,0.914,0.000,0.000,0.000
1359,3912,0.919,0.000,0.000,0.000
1360,3914,0.919,0.000,0.000,0.000
1361,3917,0.909,0.000,0.000,0.000
1362,3920,0.904,0.000,0.000,0.000
1363,3923,0.904,0.000,0.000,0.000
1364,3926,0.904,0.000,0.000,0.000
1365,3929,0.899,0.000,0.000,0.000
1366,3932,0.899,0.000,0.000,0.000
1367,3935,0.899,0.000,0.000,0.000
1368,3938,0.894,0.000,0.000,0.000
1369,3941,0.885,0.000,0.000,0.000
1370,3943,0.890,0.000,0.000,0.000
1371,3947,0.890,0.000,0.000,0.000
1372,3950,0.880,0.000,0.000,0.000
1373,3953,0.890,0.000,0.000,0.000
1374,3956,0.880,0.000,0.000,0.000
1375,3959,0.875,0.000,0.000,0.000
1376,3962,0.865,0.000,0.000,0.000
1377,3965,0.875,0.000,0.000,0.000
1378,3968,0.870,0.000,0.000,0.000
1379,3971,0.860,0.000,0.000,0.000
1380,3974,0.865,0.000,0.000,0.000
1381,3976,0.860,0.000,0.000,0.000
1382,3979,0.860,0.000,0.000,0.000
1383,3982,0.850,0.000,0.000,0.000
1384,3985,0.860,0.000,0.000,0.000
1385,3989,0.855,0.000,0.000,0.000
1386,3992,0.850,0.000,0.000,0.000
1387,3995,0.850,0.000,0.000,0.000
1388,3998,0.850,0.000,0.000,0.000
1389,4001,0.846,0.000,0.000,0.000
1390,4004,0.841,0.000,0.000,0.000
1391,4007,0.841,0.000,0.000,0.000
1392,4009,0.841,0.000,0.000,0.000
1393,4012,0.841,0.000,0.000,0.000
1394,4015,0.831,0.000,0.000,0.000
1395,4018,0.836,0.000,0.000,0.000
1396,4021,0.831,0.000,0.000,0.000
1397,4024,0.816,0.000,0.000,0.000
1398,4027,0.826,0.000,0.000,0.000
1399,4031,0.826,0.000,0.000,0.000
1400,4034,0.816,0.000,0.000,0.000
1401,4037,0.816,0.000,0.000,0.000
1402,4039,0.816,0.000,0.000,0.000
1403,4042,0.816,0.000,0.000,0.000
1404,4045,0.811,0.000,0.000,0.000
1405,4048,0.816,0.000,0.000,0.000
1406,4051,0.816,0.000,0.000,0.000
1407,4054,0.802,0.000,0.000,0.000
1408,4057,0.811,0.000,0.000,0.000
1409,4060,0.802,0.000,0.000,0.000
1410,4063,0.802,0.000,0.000,0.000
1411,4066,0.797,0.000,0.000,0.000
1412,4069,0.802,0.000,0.000,0.000
1413,4071,0.797,0.000,0.000,0.000
1414,4075,0.797,0.000,0.000,0.000
1415,4078,0.792,0.000,0.000,0.000
1416,4081,0.792,0.000,0.000,0.000
1417,4084,0.792,0.000,0.000,0.000
1418,4087,0.777,0.000,0.000,0.000
1419,4090,0.787,0.000,0.000,0.000
1420,4093,0.787,0.000,0.000,0.000
1421,4096,0.782,0.000,0.000,0.000
1422,4099,0.777,0.000,0.000,0.000
1423,4101,0.777,0.000,0.000,0.000
1424,4104,0.777,0.000,0.000,0.000
1425,4107,0.772,0.000,0.000,0.000
1426,4110,0.777,0.000,0.000,0.000
1427,4113,0.772,0.000,0.000,0.000
1428,4117,0.767,0.000,0.000,0.000
1429,4120,0.762,0.000,0.000,0.000
1430,4123,0.762,0.000,0.000,0.000
1431,4126,0.762,0.000,0.000,0.000
1432,4129,0.748,0.000,0.000,0.000
1433,4132,0.758,0.000,0.000,0.000
1434,4134,0.748,0.000,0.000,0.000
1435,4137,0.743,0.000,0.000,0.000
1436,4140,0.738,0.000,0.000,0.000
1437,4143,0.738,0.000,0.000,0.000
1438,4146,0.738,0.000,0.000,0.000
1439,4149,0.728,0.000,0.000,0.000
1440,4152,0.733,0.000,0.000,0.000
1441,4155,0.723,0.000,0.000,0.000
1442,4159,0.723,0.000,0.000,0.000
1443,4162,0.718,0.000,0.000,0.000
1444,4164,0.718,0.000,0.000,0.000
1445,4167,0.718,0.000,0.000,0.000
1446,4170,0.709,0.000,0.000,0.000
1447,4173,0.718,0.000,0.000,0.000
1448,4176,0.714,0.000,0.000,0.000
1449,4179,0.709,0.000,0.000,0.000
1450,4182,0.699,0.000,0.000,0.000
1451,4185,0.709,0.000,0.000,0.000
1452,4188,0.709,0.000,0.000,0.000
1453,4191,0.699,0.000,0.000,0.000
1454,4194,0.704,0.000,0.000,0.000
1455,4196,0.709,0.000,0.000,0.000
1456,4199,0.704,0.000,0.000,0.000
1457,4203,0.699,0.000,0.000,0.000
1458,4206,0.699,0.000,0.000,0.000
1459,4209,0.704,0.000,0.000,0.000
1460,4212,0.694,0.000,0.000,0.000
1461,4215,0.699,0.000,0.000,0.000
1462,4218,0.699,0.000,0.000,0.000
1463,4221,0.699,0.000,0.000,0.000
1464,4224,0.694,0.000,0.000,0.000
1465,4226,0.699,0.000,0.000,0.000
1466,4229,0.699,0.000,0.000,0.000
1467,4232,0.689,0.000,0.000,0.000
1468,4235,0.689,0.000,0.000,0.000
1469,4238,0.694,0.000,0.000,0.000
1470,4241,0.694,0.000,0.000,0.000
1471,4245,0.684,0.000,0.000,0.000
1472,4248,0.694,0.000,0.000,0.000
1473,4251,0.689,0.000,0.000,0.000
1474,4254,0.684,0.000,0.000,0.000
1475,4257,0.684,0.000,0.000,0.000
1476,4259,0.684,0.000,0.000,0.000
1477,4262,0.684,0.000,0.000,0.000
1478,4265,0.679,0.000,0.000,0.000
1479,4268,0.684,0.000,0.000,0.000
1480,4271,0.684,0.000,0.000,0.000
1481,4274,0.670,0.000,0.000,0.000
1482,4277,0.679,0.000,0.000,0.000
1483,4280,0.679,0.000,0.000,0.000
1484,4283,0.679,0.000,0.000,0.000
1485,4287,0.670,0.000,0.000,0.000
1486,4290,0.684,0.000,0.000,0.000
1487,4292,0.679,0.000,0.000,0.000
1488,4295,0.665,0.000,0.000,0.000
1489,4298,0.674,0.000,0.000,0.000
1490,4301,0.674,0.000,0.000,0.000
1491,4304,0.670,0.000,0.000,0.000
1492,4307,0.665,0.000,0.000,0.000
1493,4310,0.670,0.000,0.000,0.000
1494,4313,0.670,0.000,0.000,0.000
1495,4316,0.660,0.000,0.000,0.000
1496,4319,0.665,0.000,0.000,0.000
1497,4321,0.660,0.000,0.000,0.000
1498,4324,0.660,0.000,0.000,0.000
1499,4327,0.660,0.000,0.000,0.000
1500,4331,0.660,0.000,0.000,0.000
1501,4334,0.660,0.000,0.000,0.000
1502,4337,0.660,0.000,0.000,0.000
1503,4340,0.660,0.000,0.000,0.000
1504,4343,0.660,0.000,0.000,0.000
1505,4346,0.660,0.000,0.000,0.000
1506,4349,0.655,0.000,0.000,0.000
1507,4352,0.660,0.000,0.000,0.000
1508,4354,0.660,0.000,0.000,0.000
1509,4357,0.645,0.000,0.000,0.000
1510,4360,0.655,0.000,0.000,0.000
1511,4363,0.660,0.000,0.000,0.000
1512,4366,0.655,0.000,0.000,0.000
1513,4369,0.650,0.000,0.000,0.000
1514,4373,0.655,0.000,0.000,0.000
1515,4376,0.655,0.000,0.000,0.000
1516,4379,0.645,0.000,0.000,0.000
1517,4382,0.655,0.000,0.000,0.000
1518,4384,0.655,0.000,0.000,0.000
1519,4387,0.650,0.000,0.000,0.000
1520,4390,0.640,0.000,0.000,0.000
1521,4393,0.645,0.000,0.000,0.000
1522,4396,0.645,0.000,0.000,0.000
1523,4399,0.640,0.000,0.000,0.000
1524,4402,0.645,0.000,0.000,0.000
1525,4405,0.645,0.000,0.000,0.000
1526,4408,0.645,0.000,0.000,0.000
1527,4411,0.640,0.000,0.000,0.000
1528,4415,0.640,0.000,0.000,0.000
1529,4417,0.640,0.000,0.000,0.000
1530,4420,0.630,0.000,0.000,0.000
1531,4423,0.640,0.000,0.000,0.000
1532,4426,0.640,0.000,0.000,0.000
1533,4429,0.640,0.000,0.000,0.000
1534,4432,0.630,0.000,0.000,0.000
1535,4435,0.640,0.000,0.000,0.000
1536,4438,0.640,0.000,0.000,0.000
1537,4441,0.626,0.000,0.000,0.000
1538,4444,0.640,0.000,0.000,0.000
1539,4446,0.640,0.000,0.000,0.000
1540,4449,0.630,0.000,0.000,0.000
1541,4452,0.626,0.000,0.000,0.000
1542,4455,0.630,0.000,0.000,0.000
1543,4459,0.630,0.000,0.000,0.000
1544,4462,0.621,0.000,0.000,0.000
1545,4465,0.630,0.000,0.000,0.000
1546,4468,0.630,0.000,0.000,0.000
1547,4471,0.630,0.000,0.000,0.000
1548,4474,0.621,0.000,0.000,0.000
1549,4477,0.626,0.000,0.000,0.000
1550,4479,0.630,0.000,0.000,0.000
1551,4482,0.621,0.000,0.000,0.000
1552,4485,0.630,0.000,0.000,0.000
1553,4488,0.630,0.000,0.000,0.000
1554,4491,0.621,0.000,0.000,0.000
1555,4494,0.616,0.000,0.000,0.000
1556,4497,0.621,0.000,0.000,0.000
1557,4501,0.621,0.000,0.000,0.000
1558,4504,0.621,0.000,0.000,0.000
1559,4507,0.621,0.000,0.000,0.000
1560,4509,0.621,0.000,0.000,0.000
1561,4512,0.621,0.000,0.000,0.000
1562,4515,0.616,0.000,0.000,0.000
1563,4518,0.621,0.000,0.000,0.000
1564,4521,0.616,0.000,0.000,0.000
1565,4524,0.611,0.000,0.000,0.000
1566,4527,0.621,0.000,0.000,0.000
1567,4530,0.621,0.000,0.000,0.000
1568,4533,0.621,0.000,0.000,0.000
1569,4536,0.611,0.000,0.000,0.000
1570,4539,0.616,0.000,0.000,0.000
1571,4542,0.616,0.000,0.000,0.000
1572,4545,0.606,0.000,0.000,0.000
1573,4548,0.616,0.000,0.000,0.000
1574,4551,0.621,0.000,0.000,0.000
1575,4554,0.616,0.000,0.000,0.000
1576,4557,0.606,0.000,0.000,0.000
1577,4560,0.611,0.000,0.000,0.000
1578,4563,0.616,0.000,0.000,0.000
1579,4566,0.606,0.000,0.000,0.000
1580,4569,0.616,0.000,0.000,0.000
1581,4572,0.616,0.000,0.000,0.000
1582,4574,0.611,0.000,0.000,0.000
1583,4577,0.606,0.000,0.000,0.000
1584,4580,0.611,0.000,0.000,0.000
1585,4583,0.611,0.000,0.000,0.000
1586,4587,0.606,0.000,0.000,0.000
1587,4590,0.611,0.000,0.000,0.000
1588,4593,0.611,0.000,0.000,0.000
1589,4596,0.606,0.000,0.000,0.000
1590,4599,0.601,0.000,0.000,0.000
1591,4602,0.606,0.000,0.000,0.000
1592,4604,0.606,0.000,0.000,0.000
1593,4607,0.601,0.000,0.000,0.000
1594,4610,0.606,0.000,0.000,0.000
1595,4613,0.606,0.000,0.000,0.000
1596,4616,0.606,0.000,0.000,0.000
1597,4619,0.601,0.000,0.000,0.000
1598,4622,0.606,0.000,0.000,0.000
1599,4625,0.606,0.000,0.000,0.000
1600,4629,0.601,0.000,0.000,0.000
1601,4632,0.606,0.000,0.000,0.000
1602,4635,0.606,0.000,0.000,0.000
1603,4637,0.606,0.000,0.000,0.000
1604,4640,0.591,0.000,0.000,0.000
1605,4643,0.606,0.000,0.000,0.000
1606,4646,0.606,0.000,0.000,0.000
1607,4649,0.601,0.000,0.000,0.000
1608,4652,0.601,0.000,0.000,0.000
1609,4655,0.601,0.000,0.000,0.000
1610,4658,0.601,0.000,0.000,0.000
1611,4661,0.591,0.000,0.000,0.000
1612,4664,0.601,0.000,0.000,0.000
1613,4666,0.601,0.000,0.000,0.000
1614,4670,0.596,0.000,0.000,0.000
1615,4673,0.601,0.000,0.000,0.000
1616,4676,0.596,0.000,0.000,0.000
1617,4679,0.601,0.000,0.000,0.000
1618,4682,0.591,0.000,0.000,0.000
1619,4685,0.601,0.000,0.000,0.000
1620,4688,0.601,0.000,0.000,0.000
1621,4691,0.591,0.000,0.000,0.000
1622,4694,0.591,0.000,0.000,0.000
1623,4697,0.591,0.000,0.000,0.000
1624,4699,0.596,0.000,0.000,0.000
1625,4702,0.587,0.000,0.000,0.000
1626,4705,0.596,0.000,0.000,0.000
1627,4708,0.596,0.000,0.000,0.000
1628,4711,0.591,0.000,0.000,0.000
1629,4715,0.591,0.000,0.000,0.000
1630,4718,0.591,0.000,0.000,0.000
1631,4721,0.591,0.000,0.000,0.000
1632,4724,0.587,0.000,0.000,0.000
1633,4727,0.591,0.000,0.000,0.000
1634,4729,0.596,0.000,0.000,0.000
1635,4732,0.591,0.000,0.000,0.000
1636,4735,0.591,0.000,0.000,0.000
1637,4738,0.591,0.000,0.000,0.000
1638,4741,0.591,0.000,0.000,0.000
1639,4744,0.587,0.000,0.000,0.000
1640,4747,0.591,0.000,0.000,0.000
1641,4750,0.591,0.000,0.000,0.000
1642,4753,0.591,0.000,0.000,0.000
1643,4757,0.591,0.000,0.000,0.000
1644,4760,0.591,0.000,0.000,0.000
1645,4762,0.591,0.000,0.000,0.000
1646,4765,0.587,0.000,0.000,0.000
1647,4768,0.591,0.000,0.000,0.000
1648,4771,0.587,0.000,0.000,0.000
1649,4774,0.587,0.000,0.000,0.000
1650,4777,0.591,0.000,0.000,0.000
1651,4780,0.587,0.000,0.000,0.000
1652,4783,0.587,0.000,0.000,0.000
1653,4786,0.587,0.000,0.000,0.000
1654,4789,0.587,0.000,0.000,0.000
1655,4791,0.587,0.000,0.000,0.000
1656,4794,0.587,0.000,0.000,0.000
1657,4798,0.582,0.000,0.000,0.000
1658,4801,0.587,0.000,0.000,0.000
1659,4804,0.587,0.000,0.000,0.000
1660,4807,0.587,0.000,0.000,0.000
1661,4810,0.587,0.000,0.000,0.000
1662,4813,0.587,0.000,0.000,0.000
1663,4816,0.587,0.000,0.000,0.000
1664,4819,0.582,0.000,0.000,0.000
1665,4822,0.587,0.000,0.000,0.000
1666,4824,0.587,0.000,0.000,0.000
1667,4827,0.587,0.000,0.000,0.000
1668,4830,0.587,0.000,0.000,0.000
1669,4833,0.587,0.000,0.000,0.000
1670,4836,0.587,0.000,0.000,0.000
1671,4839,0.582,0.000,0.000,0.000
1672,4843,0.587,0.000,0.000,0.000
1673,4846,0.587,0.000,0.000,0.000
1674,4849,0.582,0.000,0.000,0.000
1675,4852,0.587,0.000,0.000,0.000
1676,4855,0.587,0.000,0.000,0.000
1677,4857,0.587,0.000,0.000,0.000
1678,4860,0.582,0.000,0.000,0.000
1679,4863,0.587,0.000,0.000,0.000
1680,4866,0.587,0.000,0.000,0.000
1681,4869,0.577,0.000,0.000,0.000
1682,4872,0.587,0.000,0.000,0.000
1683,4875,0.587,0.000,0.000,0.000
1684,4878,0.587,0.000,0.000,0.000
1685,4881,0.582,0.000,0.000,0.000
1686,4885,0.587,0.000,0.000,0.000
1687,4887,0.587,0.000,0.000,0.000
1688,4890,0.577,0.000,0.000,0.000
1689,4893,0.587,0.000,0.000,0.000
1690,4896,0.587,0.000,0.000,0.000
1691,4899,0.587,0.000,0.000,0.000
1692,4902,0.577,0.000,0.000,0.000
1693,4905,0.587,0.000,0.000,0.000
1694,4908,0.587,0.000,0.000,0.000
1695,4911,0.577,0.000,0.000,0.000
1696,4914,0.582,0.000,0.000,0.000
1697,4917,0.587,0.000,0.000,0.000
1698,4919,0.587,0.000,0.000,0.000
1699,4922,0.577,0.000,0.000,0.000
1700,4926,0.587,0.000,0.000,0.000
1701,4929,0.587,0.000,0.000,0.000
1702,4932,0.577,0.000,0.000,0.000
1703,4935,0.582,0.000,0.000,0.000
1704,4938,0.587,0.000,0.000,0.000
1705,4941,0.582,0.000,0.000,0.000
1706,4944,0.577,0.000,0.000,0.000
1707,4947,0.587,0.000,0.000,0.000
1708,4949,0.582,0.000,0.000,0.000
1709,4952,0.577,0.000,0.000,0.000
1710,4955,0.582,0.000,0.000,0.000
1711,4958,0.582,0.000,0.000,0.000
1712,4961,0.582,0.000,0.000,0.000
1713,4964,0.577,0.000,0.000,0.000
1714,4967,0.587,0.000,0.000,0.000
1715,4971,0.587,0.000,0.000,0.000
1716,4974,0.577,0.000,0.000,0.000
1717,4977,0.582,0.000,0.000,0.000
1718,4980,0.582,0.000,0.000,0.000
1719,4982,0.577,0.000,0.000,0.000
1720,4985,0.577,0.000,0.000,0.000
1721,4988,0.582,0.000,0.000,0.000
1722,4991,0.582,0.000,0.000,0.000
1723,4994,0.572,0.000,0.000,0.000
1724,4997,0.582,0.000,0.000,0.000
1725,5000,0.582,0.000,0.000,0.000
